shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Jordan 1 Retro High Dark Mocha,2020-10-31,3.5,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,515.5666666666667,330
Jordan 1 Retro High Dark Mocha,2020-10-31,4,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,368.6923076923077,13,420.1756756756757,74,513.2013651877133,293
Jordan 1 Retro High Dark Mocha,2020-10-31,4.5,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,404.92857142857144,14,431.05479452054794,73,533.4300341296928,293
Jordan 1 Retro High Dark Mocha,2020-10-31,5,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,400.75,12,441.7027027027027,74,540.3163265306123,294
Jordan 1 Retro High Dark Mocha,2020-10-31,5.5,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,405.3333333333333,15,457.47945205479454,73,568.8976109215017,293
Jordan 1 Retro High Dark Mocha,2020-10-31,6,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,395.6923076923077,13,474.3378378378378,74,581.5460750853242,293
Jordan 1 Retro High Dark Mocha,2020-10-31,6.5,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,432.26666666666665,15,499.35616438356163,73,640.037542662116,293
Jordan 1 Retro High Dark Mocha,2020-10-31,7,0.0,1,424.8333333333333,6,465.0,2,443.25,28,509.64285714285717,14,446.7647058823529,34,469.031746031746,63,557.0278884462151,251
Jordan 1 Retro High Dark Mocha,2020-10-31,7.5,499.0,4,485.46666666666664,15,430.0,2,410.7307692307692,26,434.93333333333334,15,391.5,32,430.1311475409836,61,509.52244897959184,245
Jordan 1 Retro High Dark Mocha,2020-10-31,8,518.695652173913,46,440.53846153846155,13,369.0,2,376.3333333333333,24,385.85714285714283,14,375.7241379310345,29,410.6607142857143,56,485.92,225
Jordan 1 Retro High Dark Mocha,2020-10-31,8.5,469.05,20,441.2857142857143,14,382.5,2,379.7307692307692,26,381.92857142857144,14,373.741935483871,31,411.3898305084746,59,477.9198312236287,237
Jordan 1 Retro High Dark Mocha,2020-10-31,9,492.84615384615387,26,429.2142857142857,14,360.5,2,373.92,25,379.35714285714283,14,374.06451612903226,31,409.2758620689655,58,478.20425531914896,235
Jordan 1 Retro High Dark Mocha,2020-10-31,9.5,543.34375,32,418.5,14,367.5,2,370.96,25,375.61538461538464,13,377.8709677419355,31,413.13793103448273,58,482.57575757575756,231
