shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Nike Dunk Low Retro White Black (2021),2021-03-10,None,139.0,146,139.0,21,139.0,3,139.0,40,278.04545454545456,22,300.0,49,300.0,93,300.0,126
Nike Dunk Low Retro White Black (2021),2021-03-10,4,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,322.0,65,320.82068965517243,435
Nike Dunk Low Retro White Black (2021),2021-03-10,4.5,276.5238095238095,105,320.0,24,414.0,3,380.0,45,404.1666666666667,24,425.0,55,401.621359223301,103,408.7659574468085,141
Nike Dunk Low Retro White Black (2021),2021-03-10,5,408.74615384615385,130,388.0,22,388.0,3,373.8095238095238,42,427.60869565217394,23,440.52941176470586,51,470.1340206185567,97,570.810606060606,132
Nike Dunk Low Retro White Black (2021),2021-03-10,5.5,313.38461538461536,91,325.36,25,300.0,3,302.8723404255319,47,276.3333333333333,24,423.859649122807,57,433.95327102803736,107,374.6986301369863,146
Nike Dunk Low Retro White Black (2021),2021-03-10,6,298.96078431372547,153,289.04761904761904,21,297.3333333333333,3,282.6666666666667,39,308.6666666666667,21,329.4791666666667,48,361.2197802197802,91,327.9032258064516,124
Nike Dunk Low Retro White Black (2021),2021-03-10,6.5,289.4178082191781,146,272.57142857142856,21,287.3333333333333,3,275.4878048780488,41,322.57142857142856,21,321.2244897959184,49,328.741935483871,93,306.12698412698415,126
Nike Dunk Low Retro White Black (2021),2021-03-10,7,261.7866666666667,150,244.47619047619048,21,249.0,3,242.9,40,266.6666666666667,21,284.0,49,288.2197802197802,91,272.928,125
Nike Dunk Low Retro White Black (2021),2021-03-10,7.5,258.5032679738562,153,241.28571428571428,21,243.66666666666666,3,240.89743589743588,39,264.2857142857143,21,283.4791666666667,48,288.5164835164835,91,286.66129032258067,124
Nike Dunk Low Retro White Black (2021),2021-03-10,8,264.1045751633987,153,239.9047619047619,21,246.66666666666666,3,240.84615384615384,39,261.76190476190476,21,279.38775510204084,49,290.44444444444446,90,278.68548387096774,124
Nike Dunk Low Retro White Black (2021),2021-03-10,8.5,271.5308641975309,162,247.35,20,246.0,3,243.05263157894737,38,263.42857142857144,21,278.9574468085106,47,291.39772727272725,88,281.94214876033055,121
Nike Dunk Low Retro White Black (2021),2021-03-10,9,269.56962025316454,158,246.95238095238096,21,244.66666666666666,3,247.76315789473685,38,273.85714285714283,21,286.2083333333333,48,295.97752808988764,89,291.27868852459017,122
Nike Dunk Low Retro White Black (2021),2021-03-10,9.5,272.3071895424837,153,251.95454545454547,22,250.66666666666666,3,250.69230769230768,39,269.7142857142857,21,283.375,48,295.2111111111111,90,294.68548387096774,124
Nike Dunk Low Retro White Black (2021),2021-03-10,10,276.49068322981367,161,253.0,21,252.66666666666666,3,252.81578947368422,38,268.3333333333333,21,287.3191489361702,47,296.96590909090907,88,298.0495867768595,121
Nike Dunk Low Retro White Black (2021),2021-03-10,10.5,288.9751552795031,161,273.85,20,270.3333333333333,3,264.28205128205127,39,270.15,20,292.7291666666667,48,307.4431818181818,88,315.4793388429752,121
Nike Dunk Low Retro White Black (2021),2021-03-10,11,270.48026315789474,152,250.66666666666666,21,253.0,3,251.75,40,260.6190476190476,21,281.2083333333333,48,301.2637362637363,91,302.0483870967742,124
Nike Dunk Low Retro White Black (2021),2021-03-10,11.5,277.4791666666667,144,260.6666666666667,21,275.0,3,262.9024390243902,41,275.23809523809524,21,287.78,50,305.752688172043,93,326.3228346456693,127
Nike Dunk Low Retro White Black (2021),2021-03-10,12,271.9144736842105,152,250.76190476190476,21,248.33333333333334,3,250.12820512820514,39,267.2857142857143,21,286.42857142857144,49,299.7032967032967,91,313.9758064516129,124
Nike Dunk Low Retro White Black (2021),2021-03-10,12.5,271.28767123287673,146,233.9090909090909,22,253.0,3,254.95,40,267.5238095238095,21,285.2040816326531,49,307.6989247311828,93,315.04761904761904,126
Nike Dunk Low Retro White Black (2021),2021-03-10,13,294.6666666666667,156,263.1,20,252.66666666666666,3,253.23076923076923,39,243.76190476190476,21,273.6666666666667,48,299.9888888888889,90,316.0731707317073,123
Nike Dunk Low Retro White Black (2021),2021-03-10,14,276.21768707482994,147,230.9047619047619,21,248.66666666666666,3,237.3,40,224.8181818181818,22,256.2857142857143,49,280.1630434782609,92,298.015873015873,126
Nike Dunk Low Retro White Black (2021),2021-03-10,15,254.47368421052633,114,235.7391304347826,23,249.66666666666666,3,239.5681818181818,44,220.79166666666666,24,260.7358490566038,53,319.8514851485148,101,317.1014492753623,138
Nike Dunk Low Retro Medium Grey Varsity Red UNLV (2021),2021-02-18,None,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,172.0,69,172.0,142,172.0,289
Nike Dunk Low Retro Medium Grey Varsity Red UNLV (2021),2021-02-18,4,0.0,1,0.0,1,0.0,1,503.08,25,292.37931034482756,29,255.11940298507463,67,270.72,125,206.53937007874015,254
Nike Dunk Low Retro Medium Grey Varsity Red UNLV (2021),2021-02-18,4.5,0.0,1,0.0,1,0.0,1,417.04,25,326.7241379310345,29,227.21212121212122,66,264.528,125,219.34509803921569,255
Nike Dunk Low Retro Medium Grey Varsity Red UNLV (2021),2021-02-18,5,0.0,1,0.0,1,350.0,2,348.8,25,263.13793103448273,29,213.5,66,273.04,125,226.67588932806325,253
Nike Dunk Low Retro Medium Grey Varsity Red UNLV (2021),2021-02-18,5.5,301.0,67,301.0,22,267.0,3,282.0952380952381,42,246.13636363636363,22,249.73076923076923,52,269.7395833333333,96,230.71938775510205,196
